PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
201571,"Augustin, D.J.",D.J. Augustin,1,2008,2022,d.j._augustin,dj_augustin,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00
203115,"Barton, Will",Will Barton,1,2012,2022,will_barton,will_barton,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,01
203920,"Birch, Khem",Khem Birch,1,2017,2022,khem_birch,khem_birch,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01
1630195,"Bolmaro, Leandro",Leandro Bolmaro,0,2021,2022,leandro_bolmaro,leandro_bolmaro,0,,,,,,Y,11
1630547,"Bouknight, James",James Bouknight,1,2021,2023,james_bouknight,james_bouknight,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11
1629714,"Brantley, Jarrell",Jarrell Brantley,0,2019,2022,jarrell_brantley,jarrell_brantley,0,,,,,,Y,01
1628425,"Brown, Sterling",Sterling Brown,0,2017,2022,sterling_brown,sterling_brown,0,,,,,,Y,11
1629126,"Burton, Deonte",Deonte Burton,0,2018,2022,deonte_burton,deonte_burton,0,,,,,,Y,11
1631219,"Butler Jr., John",John Butler Jr.,1,2022,2022,john_butler_jr,john_butler_jr,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,11
1630267,"Campazzo, Facundo",Facundo Campazzo,0,2020,2022,facundo_campazzo,facundo_campazzo,0,,,,,,Y,00
1630176,"Carey Jr., Vernon",Vernon Carey Jr.,1,2020,2022,vernon_carey_jr,vernon_carey_jr,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,11
203487,"Carter-Williams, Michael",Michael Carter-Williams,1,2013,2022,michael_carter-williams,michael_carter-williams,1610612753,Orlando,Magic,ORL,magic,magic,Y,00
1626161,"Cauley-Stein, Willie",Willie Cauley-Stein,1,2015,2022,willie_cauley-stein,willie_cauley-stein,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,11
1631113,"Chandler, Kennedy",Kennedy Chandler,0,2022,2022,kennedy_chandler,kennedy_chandler,0,,,,,,Y,11
1628435,"Comanche, Chance",Chance Comanche,0,2022,2022,chance_comanche,chance_comanche,0,,,,,,Y,11
1641645,"Cooks, Xavier",Xavier Cooks,1,2022,2022,xavier_cooks,xavier_cooks,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
1629633,"Culver, Jarrett",Jarrett Culver,0,2019,2022,jarrett_culver,jarrett_culver,0,,,,,,Y,11
1630620,"Days, Darius",Darius Days,1,2022,2022,darius_days,darius_days,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,11
203473,"Dedmon, Dewayne",Dewayne Dedmon,1,2013,2022,dewayne_dedmon,dewayne_dedmon,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01
203521,"Dellavedova, Matthew",Matthew Dellavedova,1,2013,2022,matthew_dellavedova,matthew_dellavedova,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00
1628977,"Diallo, Hamidou",Hamidou Diallo,1,2018,2023,hamidou_diallo,hamidou_diallo,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,01
203476,"Dieng, Gorgui",Gorgui Dieng,1,2013,2022,gorgui_dieng,gorgui_dieng,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,00
1628416,"Dorsey, Tyler",Tyler Dorsey,0,2017,2022,tyler_dorsey,tyler_dorsey,0,,,,,,Y,11
1629653,"Dotson, Devon",Devon Dotson,0,2020,2022,devon_dotson,devon_dotson,0,,,,,,Y,11
1628408,"Dozier, PJ",PJ Dozier,1,2017,2024,pj_dozier,pj_dozier,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11
201609,"Dragic, Goran",Goran Dragic,1,2008,2022,goran_dragic,goran_dragic,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00
1627854,"Forbes, Bryn",Bryn Forbes,0,2016,2022,bryn_forbes,bryn_forbes,0,,,,,,Y,01
